5,1	3,5	1,4	0,2	Iris-setosa		0,22	0,63	0,07	0,04	1	0	0
4,9	3	1,4	0,2	Iris-setosa		0,17	0,42	0,07	0,04	1	0	0
4,7	3,2	1,3	0,2	Iris-setosa		0,11	0,50	0,05	0,04	1	0	0
4,6	3,1	1,5	0,2	Iris-setosa		0,08	0,46	0,08	0,04	1	0	0
5	3,6	1,4	0,2	Iris-setosa		0,19	0,67	0,07	0,04	1	0	0
5,4	3,9	1,7	0,4	Iris-setosa		0,31	0,79	0,12	0,13	1	0	0
4,6	3,4	1,4	0,3	Iris-setosa		0,08	0,58	0,07	0,08	1	0	0
5	3,4	1,5	0,2	Iris-setosa		0,19	0,58	0,08	0,04	1	0	0
4,4	2,9	1,4	0,2	Iris-setosa		0,03	0,38	0,07	0,04	1	0	0
4,9	3,1	1,5	0,1	Iris-setosa		0,17	0,46	0,08	0,00	1	0	0
5,4	3,7	1,5	0,2	Iris-setosa		0,31	0,71	0,08	0,04	1	0	0
4,8	3,4	1,6	0,2	Iris-setosa		0,14	0,58	0,10	0,04	1	0	0
4,8	3	1,4	0,1	Iris-setosa		0,14	0,42	0,07	0,00	1	0	0
4,3	3	1,1	0,1	Iris-setosa		0,00	0,42	0,02	0,00	1	0	0
5,8	4	1,2	0,2	Iris-setosa		0,42	0,83	0,03	0,04	1	0	0
5,7	4,4	1,5	0,4	Iris-setosa		0,39	1,00	0,08	0,13	1	0	0
5,4	3,9	1,3	0,4	Iris-setosa		0,31	0,79	0,05	0,13	1	0	0
5,1	3,5	1,4	0,3	Iris-setosa		0,22	0,63	0,07	0,08	1	0	0
5,7	3,8	1,7	0,3	Iris-setosa		0,39	0,75	0,12	0,08	1	0	0
5,1	3,8	1,5	0,3	Iris-setosa		0,22	0,75	0,08	0,08	1	0	0
5,4	3,4	1,7	0,2	Iris-setosa		0,31	0,58	0,12	0,04	1	0	0
5,1	3,7	1,5	0,4	Iris-setosa		0,22	0,71	0,08	0,13	1	0	0
4,6	3,6	1	0,2	Iris-setosa		0,08	0,67	0,00	0,04	1	0	0
5,1	3,3	1,7	0,5	Iris-setosa		0,22	0,54	0,12	0,17	1	0	0
4,8	3,4	1,9	0,2	Iris-setosa		0,14	0,58	0,15	0,04	1	0	0
5	3	1,6	0,2	Iris-setosa		0,19	0,42	0,10	0,04	1	0	0
5	3,4	1,6	0,4	Iris-setosa		0,19	0,58	0,10	0,13	1	0	0
5,2	3,5	1,5	0,2	Iris-setosa		0,25	0,63	0,08	0,04	1	0	0
5,2	3,4	1,4	0,2	Iris-setosa		0,25	0,58	0,07	0,04	1	0	0
4,7	3,2	1,6	0,2	Iris-setosa		0,11	0,50	0,10	0,04	1	0	0
4,8	3,1	1,6	0,2	Iris-setosa		0,14	0,46	0,10	0,04	1	0	0
5,4	3,4	1,5	0,4	Iris-setosa		0,31	0,58	0,08	0,13	1	0	0
5,2	4,1	1,5	0,1	Iris-setosa		0,25	0,88	0,08	0,00	1	0	0
5,5	4,2	1,4	0,2	Iris-setosa		0,33	0,92	0,07	0,04	1	0	0
4,9	3,1	1,5	0,1	Iris-setosa		0,17	0,46	0,08	0,00	1	0	0
5	3,2	1,2	0,2	Iris-setosa		0,19	0,50	0,03	0,04	1	0	0
5,5	3,5	1,3	0,2	Iris-setosa		0,33	0,63	0,05	0,04	1	0	0
4,9	3,1	1,5	0,1	Iris-setosa		0,17	0,46	0,08	0,00	1	0	0
4,4	3	1,3	0,2	Iris-setosa		0,03	0,42	0,05	0,04	1	0	0
5,1	3,4	1,5	0,2	Iris-setosa		0,22	0,58	0,08	0,04	1	0	0
5	3,5	1,3	0,3	Iris-setosa		0,19	0,63	0,05	0,08	1	0	0
4,5	2,3	1,3	0,3	Iris-setosa		0,06	0,13	0,05	0,08	1	0	0
4,4	3,2	1,3	0,2	Iris-setosa		0,03	0,50	0,05	0,04	1	0	0
5	3,5	1,6	0,6	Iris-setosa		0,19	0,63	0,10	0,21	1	0	0
5,1	3,8	1,9	0,4	Iris-setosa		0,22	0,75	0,15	0,13	1	0	0
4,8	3	1,4	0,3	Iris-setosa		0,14	0,42	0,07	0,08	1	0	0
5,1	3,8	1,6	0,2	Iris-setosa		0,22	0,75	0,10	0,04	1	0	0
4,6	3,2	1,4	0,2	Iris-setosa		0,08	0,50	0,07	0,04	1	0	0
5,3	3,7	1,5	0,2	Iris-setosa		0,28	0,71	0,08	0,04	1	0	0
5	3,3	1,4	0,2	Iris-setosa		0,19	0,54	0,07	0,04	1	0	0
7	3,2	4,7	1,4	Iris-versicolor		0,75	0,50	0,63	0,54	0	1	0
6,4	3,2	4,5	1,5	Iris-versicolor		0,58	0,50	0,59	0,58	0	1	0
6,9	3,1	4,9	1,5	Iris-versicolor		0,72	0,46	0,66	0,58	0	1	0
5,5	2,3	4	1,3	Iris-versicolor		0,33	0,13	0,51	0,50	0	1	0
6,5	2,8	4,6	1,5	Iris-versicolor		0,61	0,33	0,61	0,58	0	1	0
5,7	2,8	4,5	1,3	Iris-versicolor		0,39	0,33	0,59	0,50	0	1	0
6,3	3,3	4,7	1,6	Iris-versicolor		0,56	0,54	0,63	0,63	0	1	0
4,9	2,4	3,3	1	Iris-versicolor		0,17	0,17	0,39	0,38	0	1	0
6,6	2,9	4,6	1,3	Iris-versicolor		0,64	0,38	0,61	0,50	0	1	0
5,2	2,7	3,9	1,4	Iris-versicolor		0,25	0,29	0,49	0,54	0	1	0
5	2	3,5	1	Iris-versicolor		0,19	0,00	0,42	0,38	0	1	0
5,9	3	4,2	1,5	Iris-versicolor		0,44	0,42	0,54	0,58	0	1	0
6	2,2	4	1	Iris-versicolor		0,47	0,08	0,51	0,38	0	1	0
6,1	2,9	4,7	1,4	Iris-versicolor		0,50	0,38	0,63	0,54	0	1	0
5,6	2,9	3,6	1,3	Iris-versicolor		0,36	0,38	0,44	0,50	0	1	0
6,7	3,1	4,4	1,4	Iris-versicolor		0,67	0,46	0,58	0,54	0	1	0
5,6	3	4,5	1,5	Iris-versicolor		0,36	0,42	0,59	0,58	0	1	0
5,8	2,7	4,1	1	Iris-versicolor		0,42	0,29	0,53	0,38	0	1	0
6,2	2,2	4,5	1,5	Iris-versicolor		0,53	0,08	0,59	0,58	0	1	0
5,6	2,5	3,9	1,1	Iris-versicolor		0,36	0,21	0,49	0,42	0	1	0
5,9	3,2	4,8	1,8	Iris-versicolor		0,44	0,50	0,64	0,71	0	1	0
6,1	2,8	4	1,3	Iris-versicolor		0,50	0,33	0,51	0,50	0	1	0
6,3	2,5	4,9	1,5	Iris-versicolor		0,56	0,21	0,66	0,58	0	1	0
6,1	2,8	4,7	1,2	Iris-versicolor		0,50	0,33	0,63	0,46	0	1	0
6,4	2,9	4,3	1,3	Iris-versicolor		0,58	0,38	0,56	0,50	0	1	0
6,6	3	4,4	1,4	Iris-versicolor		0,64	0,42	0,58	0,54	0	1	0
6,8	2,8	4,8	1,4	Iris-versicolor		0,69	0,33	0,64	0,54	0	1	0
6,7	3	5	1,7	Iris-versicolor		0,67	0,42	0,68	0,67	0	1	0
6	2,9	4,5	1,5	Iris-versicolor		0,47	0,38	0,59	0,58	0	1	0
5,7	2,6	3,5	1	Iris-versicolor		0,39	0,25	0,42	0,38	0	1	0
5,5	2,4	3,8	1,1	Iris-versicolor		0,33	0,17	0,47	0,42	0	1	0
5,5	2,4	3,7	1	Iris-versicolor		0,33	0,17	0,46	0,38	0	1	0
5,8	2,7	3,9	1,2	Iris-versicolor		0,42	0,29	0,49	0,46	0	1	0
6	2,7	5,1	1,6	Iris-versicolor		0,47	0,29	0,69	0,63	0	1	0
5,4	3	4,5	1,5	Iris-versicolor		0,31	0,42	0,59	0,58	0	1	0
6	3,4	4,5	1,6	Iris-versicolor		0,47	0,58	0,59	0,63	0	1	0
6,7	3,1	4,7	1,5	Iris-versicolor		0,67	0,46	0,63	0,58	0	1	0
6,3	2,3	4,4	1,3	Iris-versicolor		0,56	0,13	0,58	0,50	0	1	0
5,6	3	4,1	1,3	Iris-versicolor		0,36	0,42	0,53	0,50	0	1	0
5,5	2,5	4	1,3	Iris-versicolor		0,33	0,21	0,51	0,50	0	1	0
5,5	2,6	4,4	1,2	Iris-versicolor		0,33	0,25	0,58	0,46	0	1	0
6,1	3	4,6	1,4	Iris-versicolor		0,50	0,42	0,61	0,54	0	1	0
5,8	2,6	4	1,2	Iris-versicolor		0,42	0,25	0,51	0,46	0	1	0
5	2,3	3,3	1	Iris-versicolor		0,19	0,13	0,39	0,38	0	1	0
5,6	2,7	4,2	1,3	Iris-versicolor		0,36	0,29	0,54	0,50	0	1	0
5,7	3	4,2	1,2	Iris-versicolor		0,39	0,42	0,54	0,46	0	1	0
5,7	2,9	4,2	1,3	Iris-versicolor		0,39	0,38	0,54	0,50	0	1	0
6,2	2,9	4,3	1,3	Iris-versicolor		0,53	0,38	0,56	0,50	0	1	0
5,1	2,5	3	1,1	Iris-versicolor		0,22	0,21	0,34	0,42	0	1	0
5,7	2,8	4,1	1,3	Iris-versicolor		0,39	0,33	0,53	0,50	0	1	0
6,3	3,3	6	2,5	Iris-virginica		0,56	0,54	0,85	1,00	0	0	1
5,8	2,7	5,1	1,9	Iris-virginica		0,42	0,29	0,69	0,75	0	0	1
7,1	3	5,9	2,1	Iris-virginica		0,78	0,42	0,83	0,83	0	0	1
6,3	2,9	5,6	1,8	Iris-virginica		0,56	0,38	0,78	0,71	0	0	1
6,5	3	5,8	2,2	Iris-virginica		0,61	0,42	0,81	0,88	0	0	1
7,6	3	6,6	2,1	Iris-virginica		0,92	0,42	0,95	0,83	0	0	1
4,9	2,5	4,5	1,7	Iris-virginica		0,17	0,21	0,59	0,67	0	0	1
7,3	2,9	6,3	1,8	Iris-virginica		0,83	0,38	0,90	0,71	0	0	1
6,7	2,5	5,8	1,8	Iris-virginica		0,67	0,21	0,81	0,71	0	0	1
7,2	3,6	6,1	2,5	Iris-virginica		0,81	0,67	0,86	1,00	0	0	1
6,5	3,2	5,1	2	Iris-virginica		0,61	0,50	0,69	0,79	0	0	1
6,4	2,7	5,3	1,9	Iris-virginica		0,58	0,29	0,73	0,75	0	0	1
6,8	3	5,5	2,1	Iris-virginica		0,69	0,42	0,76	0,83	0	0	1
5,7	2,5	5	2	Iris-virginica		0,39	0,21	0,68	0,79	0	0	1
5,8	2,8	5,1	2,4	Iris-virginica		0,42	0,33	0,69	0,96	0	0	1
6,4	3,2	5,3	2,3	Iris-virginica		0,58	0,50	0,73	0,92	0	0	1
6,5	3	5,5	1,8	Iris-virginica		0,61	0,42	0,76	0,71	0	0	1
7,7	3,8	6,7	2,2	Iris-virginica		0,94	0,75	0,97	0,88	0	0	1
7,7	2,6	6,9	2,3	Iris-virginica		0,94	0,25	1,00	0,92	0	0	1
6	2,2	5	1,5	Iris-virginica		0,47	0,08	0,68	0,58	0	0	1
6,9	3,2	5,7	2,3	Iris-virginica		0,72	0,50	0,80	0,92	0	0	1
5,6	2,8	4,9	2	Iris-virginica		0,36	0,33	0,66	0,79	0	0	1
7,7	2,8	6,7	2	Iris-virginica		0,94	0,33	0,97	0,79	0	0	1
6,3	2,7	4,9	1,8	Iris-virginica		0,56	0,29	0,66	0,71	0	0	1
6,7	3,3	5,7	2,1	Iris-virginica		0,67	0,54	0,80	0,83	0	0	1
7,2	3,2	6	1,8	Iris-virginica		0,81	0,50	0,85	0,71	0	0	1
6,2	2,8	4,8	1,8	Iris-virginica		0,53	0,33	0,64	0,71	0	0	1
6,1	3	4,9	1,8	Iris-virginica		0,50	0,42	0,66	0,71	0	0	1
6,4	2,8	5,6	2,1	Iris-virginica		0,58	0,33	0,78	0,83	0	0	1
7,2	3	5,8	1,6	Iris-virginica		0,81	0,42	0,81	0,63	0	0	1
7,4	2,8	6,1	1,9	Iris-virginica		0,86	0,33	0,86	0,75	0	0	1
7,9	3,8	6,4	2	Iris-virginica		1,00	0,75	0,92	0,79	0	0	1
6,4	2,8	5,6	2,2	Iris-virginica		0,58	0,33	0,78	0,88	0	0	1
6,3	2,8	5,1	1,5	Iris-virginica		0,56	0,33	0,69	0,58	0	0	1
